Host,Datacenter,Cluster,Port Group,Switch,VLAN,Promiscuous Mode,Mac Changes,Forged Transmits,Traffic Shaping,Width,Peak,Burst,Policy,Reverse Policy,Notify Switch,Rolling Order,Offload,TSO,Zero Copy Xmit,VI SDK Server,VI SDK UUID
s-esx-01.usfq.edu.ec,USFQ,USFQ-SANDBOX,S2-SRV-3077,VM,3077,None,None,None,,,,,,,,,,,,p-vc-01.usfq.edu.ec,b4509789-2388-4298-aee8-97cf83caf1ba
s-esx-01.usfq.edu.ec,USFQ,USFQ-SANDBOX,S2-SRV-3076,VM,3076,None,None,None,,,,,,,,,,,,p-vc-01.usfq.edu.ec,b4509789-2388-4298-aee8-97cf83caf1ba
s-esx-01.usfq.edu.ec,USFQ,USFQ-SANDBOX,S1-SRV-2085,VM,2085,None,None,None,,,,,,,,,,,,p-vc-01.usfq.edu.ec,b4509789-2388-4298-aee8-97cf83caf1ba
s-esx-01.usfq.edu.ec,USFQ,USFQ-SANDBOX,S1-SRV-2075,VM,2075,None,None,None,,,,,,,,,,,,p-vc-01.usfq.edu.ec,b4509789-2388-4298-aee8-97cf83caf1ba
s-esx-01.usfq.edu.ec,USFQ,USFQ-SANDBOX,S1-SRV-2074,VM,2074,None,None,None,,,,,,,,,,,,p-vc-01.usfq.edu.ec,b4509789-2388-4298-aee8-97cf83caf1ba
s-esx-01.usfq.edu.ec,USFQ,USFQ-SANDBOX,S2-SRV-3073,VM,3073,None,None,None,,,,,,,,,,,,p-vc-01.usfq.edu.ec,b4509789-2388-4298-aee8-97cf83caf1ba
s-esx-01.usfq.edu.ec,USFQ,USFQ-SANDBOX,S3-CAMPUS-40,VM,40,None,None,None,,,,,,,,,,,,p-vc-01.usfq.edu.ec,b4509789-2388-4298-aee8-97cf83caf1ba
s-esx-01.usfq.edu.ec,USFQ,USFQ-SANDBOX,S3-SRV-4074,VM,4074,None,None,None,,,,,,,,,,,,p-vc-01.usfq.edu.ec,b4509789-2388-4298-aee8-97cf83caf1ba
s-esx-01.usfq.edu.ec,USFQ,USFQ-SANDBOX,S2-SRV-3075,VM,3075,None,None,None,,,,,,,,,,,,p-vc-01.usfq.edu.ec,b4509789-2388-4298-aee8-97cf83caf1ba
s-esx-01.usfq.edu.ec,USFQ,USFQ-SANDBOX,TRUNK,VM,4095,None,None,None,,,,,,,,,,,,p-vc-01.usfq.edu.ec,b4509789-2388-4298-aee8-97cf83caf1ba
s-esx-01.usfq.edu.ec,USFQ,USFQ-SANDBOX,S2-VLAN-3010,VM,3010,None,None,None,,,,,,,,,,,,p-vc-01.usfq.edu.ec,b4509789-2388-4298-aee8-97cf83caf1ba
s-esx-01.usfq.edu.ec,USFQ,USFQ-SANDBOX,V-PUBLIC-190,VM,190,None,None,None,,,,,,,,,,,,p-vc-01.usfq.edu.ec,b4509789-2388-4298-aee8-97cf83caf1ba
s-esx-01.usfq.edu.ec,USFQ,USFQ-SANDBOX,S3-VLAN-4051,VM,4051,None,None,None,,,,,,,,,,,,p-vc-01.usfq.edu.ec,b4509789-2388-4298-aee8-97cf83caf1ba
s-esx-01.usfq.edu.ec,USFQ,USFQ-SANDBOX,S3-VLAN-4066,VM,4066,None,None,None,,,,,,,,,,,,p-vc-01.usfq.edu.ec,b4509789-2388-4298-aee8-97cf83caf1ba
s-esx-01.usfq.edu.ec,USFQ,USFQ-SANDBOX,VMotion,VMotion,0,None,None,None,,,,,,,,,,,,p-vc-01.usfq.edu.ec,b4509789-2388-4298-aee8-97cf83caf1ba
s-esx-01.usfq.edu.ec,USFQ,USFQ-SANDBOX,VM Network,vSwitch0,0,None,None,None,,,,,,,,,,,,p-vc-01.usfq.edu.ec,b4509789-2388-4298-aee8-97cf83caf1ba
s-esx-01.usfq.edu.ec,USFQ,USFQ-SANDBOX,Management Network,vSwitch0,0,None,None,None,,,,,,,,,,,,p-vc-01.usfq.edu.ec,b4509789-2388-4298-aee8-97cf83caf1ba
t-esx-01.usfq.edu.ec,USFQ,USFQ-TEST,V-AISLADA-210,VM,210,None,None,None,,,,,,,,,,,,p-vc-01.usfq.edu.ec,b4509789-2388-4298-aee8-97cf83caf1ba
t-esx-01.usfq.edu.ec,USFQ,USFQ-TEST,V-TI-10,VM,10,None,None,None,,,,,,,,,,,,p-vc-01.usfq.edu.ec,b4509789-2388-4298-aee8-97cf83caf1ba
t-esx-01.usfq.edu.ec,USFQ,USFQ-TEST,V-SWTICH-21,VM,21,None,None,None,,,,,,,,,,,,p-vc-01.usfq.edu.ec,b4509789-2388-4298-aee8-97cf83caf1ba
t-esx-01.usfq.edu.ec,USFQ,USFQ-TEST,228,VM,228,None,None,None,,,,,,,,,,,,p-vc-01.usfq.edu.ec,b4509789-2388-4298-aee8-97cf83caf1ba
t-esx-01.usfq.edu.ec,USFQ,USFQ-TEST,V-LAB-224,VM,224,None,None,None,,,,,,,,,,,,p-vc-01.usfq.edu.ec,b4509789-2388-4298-aee8-97cf83caf1ba
t-esx-01.usfq.edu.ec,USFQ,USFQ-TEST,V-CAMPUS-11,VM,11,None,None,None,,,,,,,,,,,,p-vc-01.usfq.edu.ec,b4509789-2388-4298-aee8-97cf83caf1ba
t-esx-01.usfq.edu.ec,USFQ,USFQ-TEST,V-CAMPUS-12,VM,12,None,None,None,,,,,,,,,,,,p-vc-01.usfq.edu.ec,b4509789-2388-4298-aee8-97cf83caf1ba
t-esx-01.usfq.edu.ec,USFQ,USFQ-TEST,V-CAMPUS-26,VM,26,None,None,None,,,,,,,,,,,,p-vc-01.usfq.edu.ec,b4509789-2388-4298-aee8-97cf83caf1ba
t-esx-01.usfq.edu.ec,USFQ,USFQ-TEST,V-USR-26,VM,26,None,None,None,,,,,,,,,,,,p-vc-01.usfq.edu.ec,b4509789-2388-4298-aee8-97cf83caf1ba
t-esx-01.usfq.edu.ec,USFQ,USFQ-TEST,V-TEST-103,VM,103,None,None,None,,,,,,,,,,,,p-vc-01.usfq.edu.ec,b4509789-2388-4298-aee8-97cf83caf1ba
t-esx-01.usfq.edu.ec,USFQ,USFQ-TEST,V-TEST-102,VM,102,None,None,None,,,,,,,,,,,,p-vc-01.usfq.edu.ec,b4509789-2388-4298-aee8-97cf83caf1ba
t-esx-01.usfq.edu.ec,USFQ,USFQ-TEST,V-ACCESS-77,VM,1177,None,None,None,,,,,,,,,,,,p-vc-01.usfq.edu.ec,b4509789-2388-4298-aee8-97cf83caf1ba
t-esx-01.usfq.edu.ec,USFQ,USFQ-TEST,V-P2P-PA-1070,VM,1070,None,None,None,,,,,,,,,,,,p-vc-01.usfq.edu.ec,b4509789-2388-4298-aee8-97cf83caf1ba
t-esx-01.usfq.edu.ec,USFQ,USFQ-TEST,V-USR-212,VM,212,None,None,None,,,,,,,,,,,,p-vc-01.usfq.edu.ec,b4509789-2388-4298-aee8-97cf83caf1ba
t-esx-01.usfq.edu.ec,USFQ,USFQ-TEST,V-CAMPUS-17,VM,17,None,None,None,,,,,,,,,,,,p-vc-01.usfq.edu.ec,b4509789-2388-4298-aee8-97cf83caf1ba
t-esx-01.usfq.edu.ec,USFQ,USFQ-TEST,V-CAMPUS-7,VM,7,None,None,None,,,,,,,,,,,,p-vc-01.usfq.edu.ec,b4509789-2388-4298-aee8-97cf83caf1ba
t-esx-01.usfq.edu.ec,USFQ,USFQ-TEST,V-SRV-TERCEROS-65,VM,1265,None,None,None,,,,,,,,,,,,p-vc-01.usfq.edu.ec,b4509789-2388-4298-aee8-97cf83caf1ba
t-esx-01.usfq.edu.ec,USFQ,USFQ-TEST,V-SRV-75,VM,1175,None,None,None,,,,,,,,,,,,p-vc-01.usfq.edu.ec,b4509789-2388-4298-aee8-97cf83caf1ba
t-esx-01.usfq.edu.ec,USFQ,USFQ-TEST,V-TEST-FIN-1280,VM,1280,None,None,None,,,,,,,,,,,,p-vc-01.usfq.edu.ec,b4509789-2388-4298-aee8-97cf83caf1ba
t-esx-01.usfq.edu.ec,USFQ,USFQ-TEST,V-SRV-78,VM,1078,None,None,None,,,,,,,,,,,,p-vc-01.usfq.edu.ec,b4509789-2388-4298-aee8-97cf83caf1ba
t-esx-01.usfq.edu.ec,USFQ,USFQ-TEST,V-PUBLIC-208,VM,208,None,None,None,,,,,,,,,,,,p-vc-01.usfq.edu.ec,b4509789-2388-4298-aee8-97cf83caf1ba
t-esx-01.usfq.edu.ec,USFQ,USFQ-TEST,V-PUBLIC-191,VM,191,None,None,None,,,,,,,,,,,,p-vc-01.usfq.edu.ec,b4509789-2388-4298-aee8-97cf83caf1ba
