VM,Powerstate,Template,SRM Placeholder,NIC label,Adapter,Network,Switch,Connected,Starts Connected,Mac Address,Type,IPv4 Address,IPv6 Address,Direct Path IO,Internal Sort Column,Annotation,Backup status,ClusterInvariantVMMId,Last backup,Datacenter,Cluster,Host,Folder,OS according to the configuration file,OS according to the VMware Tools,VM ID,VM UUID,VI SDK Server,VI SDK UUID
P-IMP-MX-WAF-01,poweredOn,False,,,Network adapter 4,V-SRV-75,,True,True,00:50:56:86:55:56,vim.vm.device.VirtualVmxnet3,,,,,,,,,USFQ,USFQ-PRODUCCION,p-esx-02.usfq.edu.ec,,,,,,,
P-IMP-MX-WAF-01,poweredOn,False,,,Network adapter 5,V-SRV-75,,True,True,00:50:56:86:86:42,vim.vm.device.VirtualVmxnet3,,,,,,,,,USFQ,USFQ-PRODUCCION,p-esx-02.usfq.edu.ec,,,,,,,
P-IMP-MX-WAF-01,poweredOn,False,,,Network adapter 6,V-SRV-75,,True,True,00:50:56:86:c3:d2,vim.vm.device.VirtualE1000,,,,,,,,,USFQ,USFQ-PRODUCCION,p-esx-02.usfq.edu.ec,,,,,,,
P-GEOCENTRO-OLNX-01,poweredOn,False,,,Network adapter 1,V-SRV-TERCEROS-65,,True,True,00:50:56:b4:bc:c5,vim.vm.device.VirtualVmxnet3,,,,,,,,,USFQ,USFQ-PRODUCCION,p-esx-02.usfq.edu.ec,,,,,,,
P-IMP-MX-DBF-01,poweredOn,False,,,Network adapter 1,V-SRV-75,,True,True,00:50:56:b4:88:b7,vim.vm.device.VirtualVmxnet3,,,,,,,,,USFQ,USFQ-PRODUCCION,p-esx-02.usfq.edu.ec,,,,,,,
P-GI-01,poweredOn,False,,,Network adapter 1,V-SRV-75,,True,True,00:50:56:B4:C9:23,vim.vm.device.VirtualVmxnet3,,,,,,,,,USFQ,USFQ-PRODUCCION,p-esx-02.usfq.edu.ec,,,,,,,
P-ZB-FE-01,poweredOn,False,,,Network adapter 1,V-SRV-74,,True,True,00:50:56:b4:44:f3,vim.vm.device.VirtualE1000,,,,,,,,,USFQ,USFQ-PRODUCCION,p-esx-02.usfq.edu.ec,,,,,,,
P-HUBI-LNX-01,poweredOn,False,,,Network adapter 1,V-HUBI-JAIL-79,,True,True,00:50:56:b4:3f:c7,vim.vm.device.VirtualVmxnet3,,,,,,,,,USFQ,USFQ-PRODUCCION,p-esx-02.usfq.edu.ec,,,,,,,
P-BAN9-ADMP-01,poweredOn,False,,,Network adapter 1,V-SRV-BAN-85,,True,True,00:50:56:86:cf:61,vim.vm.device.VirtualVmxnet3,,,,,,,,,USFQ,USFQ-PRODUCCION,p-esx-02.usfq.edu.ec,,,,,,,
P-RADIUS-01,poweredOn,False,,,Network adapter 1,V-SRV-75,,True,True,00:50:56:b4:76:8c,vim.vm.device.VirtualVmxnet3,,,,,,,,,USFQ,USFQ-PRODUCCION,p-esx-02.usfq.edu.ec,,,,,,,
P-BAN9-APP-02,poweredOn,False,,,Network adapter 1,V-SRV-BAN-85,,True,True,00:50:56:86:6d:7a,vim.vm.device.VirtualVmxnet3,,,,,,,,,USFQ,USFQ-PRODUCCION,p-esx-02.usfq.edu.ec,,,,,,,
T-APP-INFOREDESTI-01,poweredOn,False,,,Network adapter 1,V-SRV-ACCESS-77,,True,False,00:50:56:86:ab:31,vim.vm.device.VirtualVmxnet3,,,,,,,,,USFQ,USFQ-PRODUCCION,p-esx-02.usfq.edu.ec,,,,,,,
P-WEBWORK-01,poweredOn,False,,,Network adapter 1,V-INVESTIGACION-67,,True,True,00:50:56:86:b9:1e,vim.vm.device.VirtualE1000,,,,,,,,,USFQ,USFQ-PRODUCCION,p-esx-02.usfq.edu.ec,,,,,,,
P-APP-ANSIBLE-OL9-01,poweredOn,False,,,Network adapter 1,V-SRV-74,,True,True,00:50:56:86:1a:b1,vim.vm.device.VirtualVmxnet3,,,,,,,,,USFQ,USFQ-PRODUCCION,p-esx-02.usfq.edu.ec,,,,,,,
P-NTP-01,poweredOn,False,,,Network adapter 1,V-SRV-ACCESS-77,,True,True,00:50:56:86:ad:ae,vim.vm.device.VirtualVmxnet3,,,,,,,,,USFQ,USFQ-PRODUCCION,p-esx-02.usfq.edu.ec,,,,,,,
P-BAN9-APP-01,poweredOn,False,,,Network adapter 1,V-SRV-BAN-85,,True,True,00:50:56:86:a7:55,vim.vm.device.VirtualVmxnet3,,,,,,,,,USFQ,USFQ-PRODUCCION,p-esx-02.usfq.edu.ec,,,,,,,
P-FIN-MS-01,poweredOn,False,,,Network adapter 1,V-FINANZAS-80,,True,True,00:50:56:b4:66:47,vim.vm.device.VirtualE1000,,,,,,,,,USFQ,USFQ-PRODUCCION,p-esx-02.usfq.edu.ec,,,,,,,
P-ACR-CLOUD-02,poweredOn,False,,,Network adapter 1,VM Network,,True,True,00:50:56:86:a9:be,vim.vm.device.VirtualVmxnet3,,,,,,,,,USFQ,USFQ-PRODUCCION,p-esx-02.usfq.edu.ec,,,,,,,
P-EDUROAM-01,poweredOn,False,,,Network adapter 1,V-SRV-75,,True,True,00:50:56:b4:54:71,vim.vm.device.VirtualE1000,,,,,,,,,USFQ,USFQ-PRODUCCION,p-esx-02.usfq.edu.ec,,,,,,,
P-WWW4-OL-01,poweredOff,False,,,Network adapter 1,V-SRV-75,,False,True,00:50:56:B4:7A:DC,vim.vm.device.VirtualE1000,,,,,,,,,USFQ,USFQ-PRODUCCION,p-esx-02.usfq.edu.ec,,,,,,,
P-BAN9-SSB-01,poweredOn,False,,,Network adapter 1,V-SRV-BAN-85,,True,True,00:50:56:86:b0:79,vim.vm.device.VirtualVmxnet3,,,,,,,,,USFQ,USFQ-PRODUCCION,p-esx-02.usfq.edu.ec,,,,,,,
P-IMP-GW-WAF-01A,poweredOn,False,,,Network adapter 1,V-SRV-IMP-76,,True,True,00:50:56:b4:85:27,vim.vm.device.VirtualVmxnet3,,,,,,,,,USFQ,USFQ-PRODUCCION,p-esx-02.usfq.edu.ec,,,,,,,
P-IMP-GW-WAF-01A,poweredOn,False,,,Network adapter 2,V-SRV-IMP-76,,True,True,00:50:56:b4:13:4c,vim.vm.device.VirtualVmxnet3,,,,,,,,,USFQ,USFQ-PRODUCCION,p-esx-02.usfq.edu.ec,,,,,,,
P-IMP-GW-WAF-01A,poweredOn,False,,,Network adapter 3,V-SRV-IMP-76,,True,True,00:50:56:b4:38:01,vim.vm.device.VirtualVmxnet3,,,,,,,,,USFQ,USFQ-PRODUCCION,p-esx-02.usfq.edu.ec,,,,,,,
P-IMP-GW-WAF-01A,poweredOn,False,,,Network adapter 4,V-SRV-IMP-76,,True,True,00:50:56:b4:fa:32,vim.vm.device.VirtualVmxnet3,,,,,,,,,USFQ,USFQ-PRODUCCION,p-esx-02.usfq.edu.ec,,,,,,,
